Airline,Month,Passengers
2LQ,12,1824.0
2O,1,983.0
2O,2,900.0
2O,3,1289.0
2O,4,301.0
2O,5,1703.0
2O,6,2171.0
2O,7,2338.0
2O,8,2686.0
2O,9,2317.0
2O,10,1588.0
2O,11,1742.0
2O,12,1366.0
2OQ,1,1968.0
2OQ,2,917.0
2OQ,3,1530.0
2OQ,4,1347.0
2OQ,5,1121.0
2OQ,6,1785.0
2OQ,7,1984.0
2OQ,8,1619.0
2OQ,9,1368.0
2OQ,10,1597.0
2OQ,11,1597.0
2OQ,12,2284.0
2RQ,1,1.0
2RQ,2,13.0
2RQ,3,5.0
2RQ,4,4.0
2RQ,6,8.0
2RQ,7,4.0
2RQ,8,10.0
2RQ,9,9.0
2RQ,12,8.0
2TQ,1,311.0
2TQ,2,227.0
2TQ,3,534.0
2TQ,4,478.0
2TQ,5,492.0
2TQ,6,943.0
2TQ,7,972.0
2TQ,8,697.0
2TQ,9,241.0
2TQ,10,205.0
2TQ,11,294.0
2TQ,12,546.0
2UQ,1,8.0
2UQ,2,5.0
2UQ,3,3.0
2UQ,4,6.0
2UQ,6,5.0
2UQ,7,21.0
2UQ,8,22.0
2UQ,9,4.0
2UQ,10,82.0
2UQ,11,9.0
2UQ,12,34.0
30Q,7,76.0
30Q,8,64.0
30Q,11,4.0
34Q,1,9.0
34Q,2,42.0
34Q,4,20.0
34Q,5,2.0
34Q,6,2.0
34Q,7,14.0
34Q,9,1.0
34Q,12,16.0
36Q,1,8.0
36Q,4,6.0
36Q,11,7384.0
36Q,12,7181.0
37Q,6,397.0
37Q,7,207.0
38Q,1,4481.0
38Q,2,3724.0
38Q,3,4150.0
38Q,4,3856.0
38Q,5,4143.0
38Q,6,4507.0
38Q,7,3121.0
38Q,8,4600.0
38Q,9,3506.0
38Q,10,4499.0
38Q,11,3598.0
38Q,12,3943.0
3AQ,1,548.0
3AQ,2,380.0
3AQ,3,384.0
3AQ,5,479.0
3AQ,6,350.0
3AQ,7,215.0
3AQ,8,503.0
3AQ,10,457.0
3AQ,11,368.0
3AQ,12,306.0
3BQ,8,100.0
3BQ,11,454.0
3BQ,12,288.0
3DQ,7,2204.0
3DQ,8,2472.0
3DQ,9,1785.0
3DQ,10,1722.0
3DQ,11,1618.0
3DQ,12,1353.0
3E,1,6759.0
3E,2,5121.0
3E,3,6532.0
3E,4,6157.0
3E,5,6857.0
3E,6,6907.0
3E,7,7508.0
3E,8,7263.0
3E,9,6359.0
3E,10,6804.0
3E,11,6338.0
3E,12,6355.0
3F,1,237.0
3F,2,301.0
3F,3,427.0
3F,4,623.0
3F,5,965.0
3F,6,2060.0
3F,7,4029.0
3F,8,3632.0
3F,9,1414.0
3F,10,257.0
3F,11,237.0
3F,12,134.0
3M,1,55667.0
3M,2,60995.0
3M,3,79523.0
3M,4,71750.0
3M,5,69679.0
3M,6,73440.0
3M,7,76621.0
3M,8,61155.0
3M,9,44093.0
3M,10,51488.0
3M,11,45186.0
3M,12,48639.0
3S,1,0.0
3S,2,0.0
3S,3,0.0
3S,4,0.0
3S,5,0.0
3S,6,0.0
3S,7,0.0
3S,8,0.0
3S,9,0.0
3S,10,0.0
3S,11,0.0
3S,12,0.0
3SD,1,1253.0
3SD,2,1335.0
3SD,3,1734.0
3SD,4,1597.0
3SD,5,1273.0
3SD,6,1011.0
3SD,7,1509.0
3SD,8,1253.0
3SD,9,656.0
3SD,10,1101.0
3SD,11,1330.0
3SD,12,1325.0
3U,1,22196.0
3U,2,22025.0
3U,3,21517.0
3U,4,21708.0
3U,5,23938.0
3U,6,24968.0
3U,7,26054.0
3U,8,25608.0
3U,9,21212.0
3U,10,16165.0
3U,11,6858.0
3U,12,21858.0
4B,1,15093.0
4B,2,13116.0
4B,3,16283.0
4B,4,15483.0
4B,5,17124.0
4B,6,16811.0
4B,7,16361.0
4B,8,16501.0
4B,9,15564.0
4B,10,16571.0
4B,11,15729.0
4B,12,16035.0
4C,1,8344.0
4C,2,7003.0
4C,3,7999.0
4C,4,6389.0
4C,5,8097.0
4C,6,8645.0
4C,7,9899.0
4C,8,8542.0
4C,9,7834.0
4C,10,7286.0
4C,11,8320.0
4C,12,9349.0
4M,1,16933.0
4M,2,15889.0
4M,3,19620.0
4M,4,17234.0
4M,5,17235.0
4M,6,13102.0
4M,7,12280.0
4M,8,11829.0
4M,9,11279.0
4M,10,12031.0
4M,11,11668.0
4M,12,12670.0
4O,1,161390.0
4O,2,121572.0
4O,3,176704.0
4O,4,167087.0
4O,5,178106.0
4O,6,175998.0
4O,7,213784.0
4O,8,196349.0
4O,9,153968.0
4O,10,157861.0
4O,11,178876.0
4O,12,220273.0
4W,1,1835.0
4W,2,2170.0
4W,3,2419.0
4W,4,1616.0
4W,5,2569.0
4W,6,2970.0
4W,7,3504.0
4W,8,3387.0
4W,9,2967.0
4W,10,1267.0
4W,11,1094.0
4W,12,1169.0
5C,1,0.0
5C,2,0.0
5C,3,0.0
5C,4,0.0
5C,5,0.0
5C,6,0.0
5C,8,0.0
5C,9,0.0
5C,10,0.0
5D,1,68280.0
5D,2,53660.0
5D,3,70610.0
5D,4,63904.0
5D,5,61778.0
5D,6,69472.0
5D,7,84942.0
5D,8,72387.0
5D,9,51090.0
5D,10,62605.0
5D,11,66344.0
5D,12,73234.0
5J,1,6434.0
5J,2,5758.0
5J,3,7038.0
5J,4,7108.0
5J,5,8310.0
5J,6,8144.0
5J,7,6.0
5J,8,6872.0
5J,9,4.0
5J,10,4.0
5J,11,4.0
5J,12,4.0
5V,1,195.0
5V,2,202.0
5V,3,335.0
5V,4,184.0
5V,5,353.0
5V,6,309.0
5V,7,402.0
5V,8,575.0
5V,9,459.0
5V,10,485.0
5V,11,181.0
5V,12,312.0
5X,1,0.0
5X,2,0.0
5X,3,0.0
5X,4,0.0
5X,5,0.0
5X,6,0.0
5X,7,0.0
5X,8,0.0
5X,9,0.0
5X,10,0.0
5X,11,0.0
5X,12,0.0
5Y,1,2498.0
5Y,2,1002.0
5Y,3,697.0
5Y,4,463.0
5Y,5,209.0
5Y,6,419.0
5Y,7,288.0
5Y,8,2999.0
5Y,9,1293.0
5Y,10,1938.0
5Y,11,2079.0
5Y,12,5408.0
6R,1,0.0
6R,2,0.0
6R,3,0.0
6R,4,0.0
6R,5,0.0
6R,6,0.0
6R,7,0.0
6R,8,0.0
6R,9,0.0
6R,10,0.0
6R,11,0.0
6R,12,0.0
7C,1,76128.0
