Airline,Origin_Dest,Plane_Type_Text,Passengers,Airport 1,Airport 2
AA,DFW_SAT,Airbus Industrie A321/Lr,452265.0,DFW,SAT
AA,LAX_PHX,Airbus Industrie A321/Lr,450978.0,LAX,PHX
B6,BOS_SFO,Airbus Industrie A321/Lr,449740.0,BOS,SFO
WN,MDW_STL,Boeing 737-700/700LR/Max 7,446694.0,MDW,STL
B6,JFK_SJU,Airbus Industrie A321/Lr,446283.0,JFK,SJU
AA,LHR_PHL,Airbus Industrie A330-300,445068.0,LHR,PHL
DL,ATL_IAH,McDonnell Douglas DC9 Super 80/MD81/82/83/88,444940.0,ATL,IAH
WN,BWI_MCO,Boeing 737-700/700LR/Max 7,444709.0,BWI,MCO
DL,AMS_DTW,Airbus Industrie A330-300,443819.0,AMS,DTW
WN,DAL_DEN,Boeing 737-700/700LR/Max 7,442774.0,DAL,DEN
AA,BOS_LGA,Embraer 190,442269.0,BOS,LGA
BA,LHR_SFO,Airbus Industrie A380-800,442168.0,LHR,SFO
DL,ATL_LAS,Airbus Industrie A321/Lr,439904.0,ATL,LAS
DL,ATL_SAT,McDonnell Douglas MD-90,439588.0,ATL,SAT
WN,BUR_PHX,Boeing 737-700/700LR/Max 7,437128.0,BUR,PHX
AA,CLT_JFK,Boeing 737-800,434417.0,CLT,JFK
NK,FLL_LGA,Airbus Industrie A321/Lr,434180.0,FLL,LGA
CP,LAX_SJC,Embraer ERJ-175,433308.0,LAX,SJC
DL,ATL_MSY,McDonnell Douglas DC9 Super 80/MD81/82/83/88,433216.0,ATL,MSY
AF,CDG_JFK,Airbus Industrie A380-800,433090.0,CDG,JFK
WN,BWI_RDU,Boeing 737-700/700LR/Max 7,431525.0,BWI,RDU
DL,ATL_IAD,McDonnell Douglas DC9 Super 80/MD81/82/83/88,431192.0,ATL,IAD
WN,BWI_FLL,Boeing 737-700/700LR/Max 7,430631.0,BWI,FLL
AA,DFW_MSP,Boeing 737-800,428176.0,DFW,MSP
AS,SAN_SEA,Boeing 737-900ER,427162.0,SAN,SEA
AA,LAS_LAX,Airbus Industrie A321/Lr,426099.0,LAS,LAX
AA,JFK_PHX,Boeing 737-800,426041.0,JFK,PHX
UA,BOS_ORD,Boeing 737-900ER,425485.0,BOS,ORD
BA,IAH_LHR,Boeing 777-200ER/200LR/233LR,425384.0,IAH,LHR
UA,IAH_ORD,Boeing 737-800,425135.0,IAH,ORD
DL,ATL_SEA,Boeing 757-200,424846.0,ATL,SEA
AA,ATL_DFW,Boeing 737-800,424069.0,ATL,DFW
B6,EWR_FLL,Airbus Industrie A320-100/200,423738.0,EWR,FLL
WN,BWI_MCO,Boeing 737-800,422015.0,BWI,MCO
DL,ATL_OMA,McDonnell Douglas DC9 Super 80/MD81/82/83/88,418926.0,ATL,OMA
WN,DEN_SLC,Boeing 737-700/700LR/Max 7,418840.0,DEN,SLC
