Airline,Airport,Route_Type,Destination_Region,Passengers
9E,DTW,Domestic,Domestic,1047686.0
DL,PDX,Domestic,Domestic,1047131.0
DL,ORD,Domestic,Domestic,1045269.0
UA,PHX,Domestic,Domestic,1044922.0
UA,TPA,Domestic,Domestic,1044741.0
TK,IST,International,International,1041015.0
B6,EWR,Domestic,Domestic,1040340.0
KL,AMS,International,International,1034948.0
UA,CUN,International,International,1032686.0
SY,MSP,Domestic,Domestic,1031086.0
DL,MSY,Domestic,Domestic,1022827.0
EI,DUB,International,International,1011540.0
AA,ORD,International,Domestic,1011415.0
DL,CVG,Domestic,Domestic,1010625.0
RV,YYZ,International,International,1010276.0
DL,MSP,International,Domestic,1007622.0
AA,EWR,Domestic,Domestic,1006478.0
YX,PHL,Domestic,Domestic,999327.0
WN,MSP,Domestic,Domestic,991238.0
BR,TPE,International,International,986973.0
DL,AUS,Domestic,Domestic,983834.0
AS,LAS,Domestic,Domestic,957270.0
AA,SAT,Domestic,Domestic,947224.0
G7,DTW,Domestic,Domestic,938235.0
OH,DCA,Domestic,Domestic,938054.0
QR,DOH,International,International,928304.0
HA,LIH,Domestic,Domestic,924046.0
DL,BWI,Domestic,Domestic,922431.0
UA,AUS,Domestic,Domestic,919083.0
VS,JFK,International,Domestic,918569.0
DL,RSW,Domestic,Domestic,914274.0
PR,MNL,International,International,913302.0
B6,PBI,Domestic,Domestic,908890.0
AA,IAH,Domestic,Domestic,905754.0
AA,FLL,Domestic,Domestic,905702.0
WN,RNO,Domestic,Domestic,898231.0
WS,YYZ,International,International,891975.0
B6,DCA,Domestic,Domestic,889748.0
WN,RSW,Domestic,Domestic,886581.0
AA,MSP,Domestic,Domestic,885037.0
B6,LAX,Domestic,Domestic,882053.0
UA,NRT,International,International,878919.0
NK,FLL,International,Domestic,871664.0
DL,CUN,International,International,871657.0
DL,CDG,International,International,869353.0
WN,OMA,Domestic,Domestic,866222.0
DL,BNA,Domestic,Domestic,856881.0
YX,IAH,Domestic,Domestic,847866.0
DL,PBI,Domestic,Domestic,842660.0
HA,KOA,Domestic,Domestic,834890.0
WN,CLE,Domestic,Domestic,833915.0
AX,DEN,Domestic,Domestic,833118.0
LH,MUC,International,International,826590.0
WN,DTW,Domestic,Domestic,826542.0
UA,SNA,Domestic,Domestic,825273.0
AA,MSY,Domestic,Domestic,821987.0
JL,NRT,International,International,820383.0
DL,DFW,Domestic,Domestic,816340.0
WN,PVD,Domestic,Domestic,815672.0
DL,MCI,Domestic,Domestic,815544.0
AA,STL,Domestic,Domestic,813306.0
OZ,ICN,International,International,810416.0
DL,PHL,Domestic,Domestic,809129.0
AA,SNA,Domestic,Domestic,809016.0
