Airline,Dest_Airport,Passengers
JetBlue Airways,LAX,881904.0
United Air Lines Inc.,NRT,878919.0
Compass Airlines,SEA,875197.0
Delta Air Lines Inc.,CUN,871511.0
Delta Air Lines Inc.,CDG,869353.0
Hawaiian Airlines Inc.,KOA,867521.0
Southwest Airlines Co.,OMA,866222.0
Delta Air Lines Inc.,BNA,860968.0
Delta Air Lines Inc.,PBI,842663.0
Delta Air Lines Inc.,HNL,836641.0
Alaska Airlines Inc.,SJC,836193.0
Southwest Airlines Co.,CLE,833518.0
GoJet Airlines LLC d/b/a United Express,DTW,832369.0
Lufthansa German Airlines,MUC,826590.0
Southwest Airlines Co.,DTW,826542.0
United Air Lines Inc.,SNA,825273.0
American Airlines Inc.,MSY,821987.0
Japan Air Lines Co. Ltd.,NRT,820383.0
Delta Air Lines Inc.,MCI,820089.0
Frontier Airlines Inc.,PHL,818947.0
Southwest Airlines Co.,PVD,815672.0
Delta Air Lines Inc.,PHL,815566.0
Delta Air Lines Inc.,DFW,815257.0
American Airlines Inc.,STL,813411.0
American Airlines Inc.,SNA,809016.0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),GDL,806403.0
Southwest Airlines Co.,EWR,800757.0
Endeavor Air Inc.,ATL,795188.0
PSA Airlines Inc.,DCA,792718.0
JetBlue Airways,SFO,787743.0
Air China,PEK,781163.0
ExpressJet Airlines LLC,EWR,780439.0
American Airlines Inc.,BNA,771093.0
Spirit Air Lines,TPA,769849.0
Southwest Airlines Co.,BDL,768569.0
Southwest Airlines Co.,BUF,767897.0
Republic Airline,IAH,767502.0
United Air Lines Inc.,CLE,763444.0
United Air Lines Inc.,DFW,761785.0
Southwest Airlines Co.,OKC,760235.0
Southwest Airlines Co.,ELP,760098.0
Allegiant Air,LAS,753378.0
American Airlines Inc.,BWI,752655.0
United Air Lines Inc.,MSY,750917.0
Sky Regional Airlines Inc.,YYZ,747303.0
Swiss International Airlines,ZRH,742613.0
Air Wisconsin Airlines Corp,ORD,727623.0
Air Canada,LAX,723360.0
Norwegian Air UK Limited,LGW,721415.0
British Airways Plc,JFK,718138.0
Westjet,YYC,715831.0
Spirit Air Lines,BOS,708912.0
Icelandair,KEF,698458.0
Delta Air Lines Inc.,JAX,697420.0
American Airlines Inc.,SJU,695010.0
Delta Air Lines Inc.,IND,694902.0
Spirit Air Lines,MSY,691868.0
Republic Airline,CMH,682639.0
Republic Airline,CLT,670507.0
Virgin America,SFO,668184.0
Delta Air Lines Inc.,EWR,663271.0
Spirit Air Lines,LGA,661993.0
American Airlines Inc.,PIT,660240.0
Westjet,YVR,658094.0
SkyWest Airlines Inc.,SEA,657898.0
American Airlines Inc.,RSW,656694.0
Delta Air Lines Inc.,MKE,656368.0
ABC Aerolineas SA de CV dba Interjet,MEX,655169.0
All Nippon Airways Co.,NRT,650595.0
Republic Airline,IND,649019.0
United Air Lines Inc.,FRA,646497.0
Spirit Air Lines,MYR,645913.0
Aerovias Nacl De Colombia,BOG,634050.0
JetBlue Airways,LGA,633030.0
Endeavor Air Inc.,MSP,631440.0
United Air Lines Inc.,MIA,629703.0
American Airlines Inc.,DTW,628126.0
JetBlue Airways,LAS,616893.0
Allegiant Air,PIE,615981.0
American Airlines Inc.,PBI,613533.0
Spirit Air Lines,EWR,610401.0
Iberia Air Lines Of Spain,MAD,608280.0
JetBlue Airways,TPA,608049.0
Alaska Airlines Inc.,SNA,607123.0
Southwest Airlines Co.,JAX,606547.0
United Air Lines Inc.,GUM,606516.0
American Airlines Inc.,PDX,601516.0
Spirit Air Lines,MSP,601514.0
Southwest Airlines Co.,SJU,594744.0
Spirit Air Lines,DEN,594627.0
Delta Air Lines Inc.,LHR,592982.0
American Airlines Inc.,SLC,587173.0
WOW Air ehf,KEF,585334.0
Frontier Airlines Inc.,ORD,581816.0
American Airlines Inc.,BDL,580793.0
American Airlines Inc.,MCI,574142.0
United Air Lines Inc.,MEX,573737.0
Hawaiian Airlines Inc.,ITO,572478.0
JetBlue Airways,SDQ,570014.0
Southwest Airlines Co.,CUN,568587.0
United Air Lines Inc.,ATL,566751.0
American Airlines Inc.,SMF,566657.0
GoJet Airlines LLC d/b/a United Express,ORD,565830.0
Alaska Airlines Inc.,JFK,563746.0
Alaska Airlines Inc.,EWR,562870.0
United Air Lines Inc.,DCA,561584.0
Delta Air Lines Inc.,MEM,561351.0
Delta Air Lines Inc.,CLT,560127.0
Frontier Airlines Inc.,AUS,559781.0
Delta Air Lines Inc.,STL,558432.0
JetBlue Airways,RSW,557778.0
Southwest Airlines Co.,ALB,554141.0
Delta Air Lines Inc.,BDL,553417.0
Air Georgian,YYZ,552223.0
SkyWest Airlines Inc.,BOI,551607.0
Frontier Airlines Inc.,ATL,550908.0
Endeavor Air Inc.,CVG,548008.0
SkyWest Airlines Inc.,ATL,547338.0
United Air Lines Inc.,PHL,542981.0
Frontier Airlines Inc.,CVG,540313.0
Delta Air Lines Inc.,SNA,538973.0
American Airlines Inc.,HNL,536480.0
United Air Lines Inc.,RDU,533870.0
Compagnie Natl Air France,JFK,533791.0
Spirit Air Lines,ACY,533365.0
SkyWest Airlines Inc.,SAN,530275.0
American Airlines Inc.,MEX,525998.0
"Commutair Aka Champlain Enterprises, Inc.",EWR,524941.0
United Air Lines Inc.,SAT,521298.0
Southwest Airlines Co.,TUL,521202.0
Taca International Airlines,SAL,517538.0
Southwest Airlines Co.,ISP,515651.0
Delta Air Lines Inc.,PIT,513058.0
Qantas Airways Ltd.,LAX,510274.0
Delta Air Lines Inc.,SAT,506630.0
Virgin Atlantic Airways,JFK,505978.0
Hawaiian Airlines Inc.,LAX,498531.0
Southwest Airlines Co.,BOI,498133.0
Air Canada,YVR,495245.0
United Air Lines Inc.,BWI,492980.0
Emirates,JFK,489949.0
Air Canada,LGA,487454.0
Frontier Airlines Inc.,CLE,485602.0
Frontier Airlines Inc.,TPA,484913.0
Southwest Airlines Co.,TUS,483608.0
American Airlines Inc.,SJC,483506.0
Westjet,LAS,481352.0
Air Canada,SFO,481210.0
Southwest Airlines Co.,BHM,477651.0
Delta Air Lines Inc.,CHS,474217.0
United Air Lines Inc.,OGG,473338.0
Air Canada rouge LP,YUL,472577.0
Delta Air Lines Inc.,CMH,471257.0
American Airlines Inc.,IND,469042.0
Compagnia Aerea Italiana,FCO,462642.0
United Air Lines Inc.,MSP,461981.0
American Airlines Inc.,TUS,459660.0
Alaska Airlines Inc.,ORD,458844.0
Transportes Aeros Meridiona,GRU,458805.0
Alaska Airlines Inc.,OGG,457645.0
Southwest Airlines Co.,GEG,456432.0
Aeroflot Russian Airlines,SVO,456211.0
Etihad Airways,AUH,456008.0
Republic Airline,PIT,452731.0
Envoy Air,LGA,452328.0
"Porter Airlines, Inc.",YTZ,449596.0
Spirit Air Lines,PHL,447411.0
Envoy Air,MIA,444622.0
Alaska Airlines Inc.,HNL,438782.0
American Airlines Inc.,GRU,438654.0
United Air Lines Inc.,SMF,438347.0
Virgin America,LAX,438004.0
American Airlines Inc.,MBJ,437226.0
United Air Lines Inc.,YVR,437204.0
Horizon Air,GEG,434984.0
Air Canada rouge LP,LAS,431110.0
SkyWest Airlines Inc.,BNA,431050.0
Delta Air Lines Inc.,NRT,430895.0
Spirit Air Lines,CLE,429949.0
Qantas Airways Ltd.,SYD,429611.0
Air New Zealand,AKL,429246.0
JetBlue Airways,STI,428107.0
Delta Air Lines Inc.,SJC,427488.0
Delta Air Lines Inc.,RIC,427290.0
United Air Lines Inc.,RSW,426278.0
China Southern Airlines,CAN,426023.0
SkyWest Airlines Inc.,PHX,425131.0
Republic Airline,DTW,425115.0
Philippine Airlines Inc.,LAX,424436.0
Spirit Air Lines,RSW,424302.0
Trans States Airlines,DEN,424056.0
China Airlines Ltd.,TPE,423981.0
Alaska Airlines Inc.,BOS,421483.0
JetBlue Airways,BDL,419021.0
Delta Air Lines Inc.,CLE,418860.0
SkyWest Airlines Inc.,LGA,417165.0
Alaska Airlines Inc.,PHX,415287.0
Spirit Air Lines,OAK,414422.0
JetBlue Airways,BUF,413643.0
El Al Israel Airlines Ltd.,TLV,412994.0
Alaska Airlines Inc.,FAI,412957.0
American Airlines Inc.,JAX,411436.0
Jazz Aviation LP,YVR,410301.0
Norwegian Air Shuttle ASA,JFK,405197.0
Delta Air Lines Inc.,GRR,404492.0
SkyWest Airlines Inc.,FAT,401608.0
Virgin Atlantic Airways,MCO,400688.0
Allegiant Air,CVG,400289.0
Delta Air Lines Inc.,BHM,397459.0
Delta Air Lines Inc.,MEX,396374.0
Westjet,LAX,393115.0
American Airlines Inc.,PUJ,391867.0
American Airlines Inc.,SJD,391599.0
Delta Air Lines Inc.,SAV,390138.0
Delta Air Lines Inc.,IAH,389529.0
Frontier Airlines Inc.,TTN,389452.0
PSA Airlines Inc.,PHL,389378.0
